"Id","Feature1","Feature2","Feature3","Feature4","Length","YearConstruction","YearLastFailureObserved"
148,"P","U",-0.0601635896179607,"D",14.5615,2000,NA
149,"P","U",-0.322098406380999,"D",8.7975,2000,NA
150,"P","U",0.126932708069924,"D",5.535,2001,NA
151,"T","IAB",-0.43435618499373,"C",3.5496,2001,NA
152,"P","U",-0.621452482681614,"C",7.1717,2002,NA
153,"P","U",0.688221601133578,"D",3.5439,1999,NA
154,"P","U",-0.569065519329007,"C",8.5504,2003,NA
155,"T","IAB",-0.569065519329007,"C",0.908,2003,NA
156,"P","U",-0.0601635896179607,"D",13.013,1998,NA
157,"P","U",-0.209840627768268,"D",7.2975,1998,NA
158,"T","U",5.17853274564281,"M",7.2673,1979,NA
159,"T","U",5.17853274564281,"M",133.5924,1992,NA
160,"P","U",-0.209840627768268,"D",12.3282,1998,NA
161,"P","U",-0.322098406380999,"D",3.7502,1998,NA
162,"T","U",4.43014755489127,"M",209.3533,1976,2005
163,"T","U",4.43014755489127,"M",2.348,1976,NA
164,"T","U",-0.43435618499373,"M",3.8987,1970,NA
165,"T","U",-0.43435618499373,"M",1.109,1970,NA
166,"T","U",-0.509194704068884,"C",3.4258,2003,NA
167,"T","U",-0.509194704068884,"D",15.0742,1970,NA
168,"T","U",-0.43435618499373,"M",35.9528,1972,2001
169,"T","U",-0.43435618499373,"M",1.348,1968,NA
170,"T","U",2.18499198263665,"M",1.8657,1967,NA
171,"T","U",-0.43435618499373,"M",7.6134,1968,NA
172,"T","U",2.18499198263665,"M",0.7919,1967,NA
173,"T","U",2.18499198263665,"M",2.4576,1968,NA
174,"P","U",5.17853274564281,"M",43.0499,2004,NA
175,"T","U",5.17853274564281,"M",53.8425,1984,NA
176,"T","U",4.43014755489127,"M",202.283,1982,NA
177,"T","U",0.688221601133578,"D",42.3439,1964,NA
178,"P","U",5.17853274564281,"M",27.9204,2004,NA
179,"T","U",-0.43435618499373,"M",3.7664,1965,NA
180,"T","U",0.314029005757808,"D",94.2959,1984,NA
181,"T","U",4.43014755489127,"M",1.7082,1965,NA
182,"T","U",0.314029005757808,"D",28.7562,1984,NA
183,"T","U",-0.43435618499373,"M",3.8366,1970,NA
184,"T","U",-0.43435618499373,"C",12.5606,1981,NA
185,"P","U",-0.322098406380999,"D",19.0473,1996,NA
186,"T","U",-0.43435618499373,"M",4.7781,1965,NA
187,"P","U",-0.43435618499373,"C",17.3853,1994,NA
188,"T","U",-0.0601635896179607,"D",41.3234,1967,2007
189,"T","U",0.126932708069924,"D",78.148,1985,NA
190,"T","U",3.68176236413973,"M",141.4425,1978,2007
191,"T","U",1.43660679188512,"D",57.4282,1986,2013
192,"T","U",1.43660679188512,"D",89.8575,1986,NA
193,"T","U",0.688221601133578,"D",117.4419,1976,NA
194,"T","U",0.126932708069924,"D",67.6404,1978,2013
195,"T","U",3.68176236413973,"M",95.9795,1982,NA
196,"P","U",0.126932708069924,"D",48.7252,1999,NA
197,"T","U",1.06241419650935,"D",20.4942,1981,NA
198,"T","U",0.126932708069924,"D",17.4506,1991,NA
199,"T","U",0.126932708069924,"D",20.7527,1980,NA
200,"T","U",0.126932708069924,"D",47.2103,1980,NA
201,"T","U",0.314029005757808,"D",69.2258,1978,NA
202,"T","U",-0.43435618499373,"C",17.7938,1978,2000
203,"T","U",-0.0601635896179607,"D",152.9742,1977,NA
204,"T","U",-0.209840627768268,"D",12.6059,1978,NA
205,"T","U",4.43014755489127,"M",225.0462,1976,NA
206,"T","U",4.43014755489127,"M",51.3172,1976,NA
207,"T","U",4.43014755489127,"M",37.4426,1976,NA
208,"T","U",4.43014755489127,"M",82.3033,1976,NA
209,"T","U",1.43660679188512,"D",39.1005,1962,NA
210,"T","U",-0.209840627768268,"D",15.6674,1981,NA
211,"T","U",1.43660679188512,"D",68.0655,1982,NA
212,"T","U",4.43014755489127,"M",126.3115,1986,NA
213,"P","U",-0.322098406380999,"D",16.3667,1998,NA
214,"P","U",-0.322098406380999,"C",15.8585,1996,NA
215,"T","U",0.688221601133578,"D",50.6794,1987,NA
216,"T","U",0.126932708069924,"D",86.0884,1977,NA
217,"T","U",0.688221601133578,"D",66.3724,1976,2005
218,"T","U",2.93337717338819,"M",25.2057,1965,NA
219,"T","U",2.93337717338819,"M",25.5377,1965,NA
220,"T","O",2.93337717338819,"M",0.98,1978,NA
221,"P","U",-0.322098406380999,"D",1.545,2001,NA
222,"T","U",0.126932708069924,"D",22.9526,1989,NA
223,"P","U",-0.43435618499373,"C",9.3199,2001,NA
224,"P","U",-0.322098406380999,"D",28.2175,2001,NA
225,"P","U",-0.43435618499373,"C",4.2562,2001,NA
226,"P","U",-0.509194704068884,"C",20.3453,2001,NA
227,"P","U",-0.509194704068884,"C",9.8662,2001,NA
228,"P","U",-0.43435618499373,"D",16.3283,2001,NA
229,"P","U",-0.569065519329007,"C",8.5142,2001,NA
230,"P","U",-0.43435618499373,"D",23.2829,2001,NA
231,"P","U",-0.0601635896179607,"D",22.0322,2001,NA
232,"P","U",-0.209840627768268,"D",85.5983,2001,NA
233,"P","U",-0.209840627768268,"D",21.9754,2001,NA
234,"P","U",-0.322098406380999,"C",19.7034,2000,NA
235,"P","U",-0.569065519329007,"C",11.8091,2002,NA
236,"P","U",-0.569065519329007,"D",20.2467,2002,NA
237,"P","U",-0.322098406380999,"D",10.4892,2002,NA
238,"P","U",-0.569065519329007,"C",3.9757,2002,NA
239,"P","U",-0.569065519329007,"C",8.6825,2002,NA
240,"P","U",-0.569065519329007,"C",6.1403,2002,NA
241,"P","U",-0.322098406380999,"D",21.3175,2002,NA
242,"P","U",-0.322098406380999,"D",37.1318,2002,NA
243,"P","U",-0.569065519329007,"C",16.1192,2002,NA
244,"T","IAB",-0.43435618499373,"C",6.0628,2002,NA
245,"P","U",-0.569065519329007,"C",4.7586,2002,NA
246,"P","U",-0.322098406380999,"D",8.6793,2002,NA
247,"T","IAB",-0.569065519329007,"C",8.1189,2002,NA
248,"P","U",-0.569065519329007,"C",17.5872,2002,NA
249,"P","U",-0.0601635896179607,"D",9.9921,1993,NA
250,"T","U",-0.209840627768268,"C",42.5601,2000,NA
251,"T","U",0.688221601133578,"D",28.7837,2000,NA
252,"P","U",-0.569065519329007,"C",80.027,2001,NA
253,"T","IAB",-0.569065519329007,"C",9.3153,2001,NA
254,"P","U",-0.509194704068884,"C",36.6737,2001,NA
255,"T","O",1.06241419650935,"D",18.67,1987,NA
256,"T","U",1.06241419650935,"D",0.4605,2004,NA
257,"T","O",5.17853274564281,"M",2.72,1978,NA
258,"T","O",5.17853274564281,"M",2.9612,1978,NA
259,"T","O",5.17853274564281,"M",84.158,1990,NA
260,"T","O",5.17853274564281,"M",1.481,1990,NA
261,"T","O",5.17853274564281,"M",55.7021,1978,NA
262,"T","O",5.17853274564281,"M",56.8203,1978,NA
263,"T","O",5.17853274564281,"M",6.9041,1978,NA
264,"T","O",5.17853274564281,"M",112.9012,1978,NA
265,"T","O",5.17853274564281,"M",109.5953,1978,NA
266,"T","U",1.43660679188512,"D",7.5118,1979,NA
267,"T","U",5.17853274564281,"M",7.9526,1990,NA
268,"P","U",-0.322098406380999,"D",22.4829,2002,NA
269,"T","IAB",-0.43435618499373,"C",4.3082,2002,NA
270,"T","IAB",-0.322098406380999,"D",7.9892,2002,NA
271,"P","U",-0.0601635896179607,"D",10.5292,2002,NA
272,"P","U",0.314029005757808,"D",13.8049,2002,NA
273,"P","U",2.93337717338819,"M",116.92,2002,NA
274,"P","U",0.314029005757808,"D",2.7312,2002,NA
275,"P","U",2.93337717338819,"M",17.7694,2002,NA
276,"P","U",2.93337717338819,"M",198.3408,2002,NA
277,"P","U",-0.209840627768268,"D",64.2618,2002,NA
278,"P","U",-0.43435618499373,"C",10.4917,2002,NA
279,"P","U",-0.322098406380999,"C",21.1783,2002,NA
280,"P","U",-0.43435618499373,"C",21.7857,2002,NA
281,"P","U",-0.43435618499373,"C",27.9123,2002,NA
282,"T","IAB",-0.43435618499373,"C",2.2546,2002,NA
283,"T","IAB",-0.322098406380999,"C",6.8867,2002,NA
284,"P","U",-0.0601635896179607,"D",86.5731,2002,NA
285,"T","IAB",-0.0601635896179607,"D",5.2615,2002,NA
286,"P","U",-0.0601635896179607,"D",36.8776,2002,NA
287,"T","IAB",-0.0601635896179607,"D",4.2025,2002,NA
288,"T","IAB",-0.0601635896179607,"D",7.0451,2002,NA
289,"P","O",-0.43435618499373,"C",4.42,1998,NA
290,"T","O",-0.209840627768268,"C",1.3425,1998,NA
291,"P","U",-0.0601635896179607,"D",35.0536,2002,NA
292,"P","U",-0.43435618499373,"C",34.8126,2002,NA
293,"P","U",-0.209840627768268,"D",12.9104,2002,NA
294,"P","U",-0.209840627768268,"D",31.4893,2002,NA
295,"P","U",-0.569065519329007,"C",41.9598,2002,NA
296,"T","U",1.81079938726088,"M",0.5657,1972,NA
297,"T","O",5.92691793639434,"M",134.6335,1982,NA
298,"P","U",-0.569065519329007,"C",31.7818,2002,NA
299,"T","U",-0.43435618499373,"M",2.2787,1972,NA
300,"P","U",-0.43435618499373,"C",47.8089,2002,NA
301,"P","U",-0.322098406380999,"D",57.1076,2002,NA
302,"T","U",0.314029005757808,"D",9.1233,2002,NA
303,"T","U",4.43014755489127,"M",30.8083,1970,2004
304,"P","U",-0.322098406380999,"C",16.0749,2002,NA
305,"P","U",2.93337717338819,"M",37.2483,2001,NA
306,"T","U",3.68176236413973,"M",4.5581,1979,NA
307,"P","U",-0.509194704068884,"C",38.148,2002,NA
308,"T","IAB",-0.509194704068884,"C",4.5573,2002,NA
309,"P","U",-0.509194704068884,"C",37.561,2002,NA
310,"T","IAB",-0.322098406380999,"C",1.7635,2002,NA
311,"T","U",4.43014755489127,"M",100.1982,1988,NA
312,"T","U",4.43014755489127,"M",119.9544,1987,NA
313,"T","U",4.43014755489127,"M",1.3848,1970,NA
314,"P","U",0.688221601133578,"D",9.1417,1995,NA
315,"T","U",0.688221601133578,"D",46.013,1988,NA
316,"T","U",2.18499198263665,"M",114.8859,1989,NA
317,"P","U",0.314029005757808,"D",38.4817,2002,NA
318,"P","U",0.314029005757808,"D",31.0686,2002,NA
319,"P","U",-0.43435618499373,"D",61.9954,2002,NA
320,"P","U",-0.569065519329007,"C",6.7076,2002,NA
321,"P","U",-0.322098406380999,"D",11.2568,2002,NA
322,"P","U",-0.322098406380999,"D",59.7545,2002,NA
323,"P","U",-0.43435618499373,"C",3.6982,2002,NA
324,"P","U",-0.43435618499373,"C",1.3751,2002,NA
325,"P","U",-0.43435618499373,"C",73.5775,2002,NA
326,"P","U",-0.43435618499373,"C",6.5194,2002,NA
327,"P","U",-0.569065519329007,"C",9.7339,2002,NA
328,"P","U",0.314029005757808,"D",1.5762,2002,NA
329,"P","U",0.688221601133578,"D",13.5146,2002,NA
330,"P","U",0.688221601133578,"D",19.6958,2002,NA
331,"P","U",-0.43435618499373,"C",62.1289,2002,NA
332,"P","U",-0.509194704068884,"C",25.0749,2002,NA
333,"P","U",0.688221601133578,"D",12.399,2002,NA
334,"P","U",0.314029005757808,"D",85.3068,2002,NA
335,"P","U",0.314029005757808,"D",20.0103,2002,NA
336,"P","U",-0.509194704068884,"C",31.3133,2002,NA
337,"P","U",0.314029005757808,"D",16.7799,2002,NA
338,"P","U",-0.322098406380999,"D",24.9929,2002,NA
339,"P","U",-0.43435618499373,"D",13.0738,2002,NA
340,"P","U",-0.509194704068884,"C",24.5236,2002,NA
341,"P","U",-0.509194704068884,"C",43.2039,2002,NA
342,"P","U",-0.509194704068884,"C",8.7286,2002,NA
343,"P","U",-0.621452482681614,"C",12.1698,2002,NA
344,"P","U",-0.322098406380999,"D",2.5682,2002,NA
345,"P","U",-0.43435618499373,"C",7.2984,2002,NA
346,"P","U",-0.43435618499373,"D",11.8841,2002,NA
347,"P","U",-0.43435618499373,"C",4.1147,2002,NA
348,"P","U",-0.569065519329007,"D",0.7581,2002,NA
349,"P","U",-0.621452482681614,"C",43.2068,2002,NA
350,"P","U",-0.569065519329007,"D",25.2964,2002,NA
351,"P","U",0.314029005757808,"D",18.2848,2002,NA
352,"P","U",0.688221601133578,"D",140.6634,2002,NA
353,"P","U",-0.0601635896179607,"D",96.569,2002,NA
354,"P","U",-0.209840627768268,"D",4.7403,2002,NA
355,"P","U",-0.509194704068884,"C",9.5187,2002,NA
356,"P","U",-0.322098406380999,"D",148.4254,2002,NA
357,"T","U",2.93337717338819,"M",39.9705,1986,NA
358,"T","U",2.93337717338819,"M",45.874,1963,NA
359,"T","U",2.93337717338819,"M",27.7275,1987,2013
360,"P","U",-0.0601635896179607,"D",76.7532,2002,NA
361,"P","U",-0.209840627768268,"D",12.541,2002,NA
362,"P","U",-0.322098406380999,"D",36.2857,2002,NA
363,"P","U",-0.43435618499373,"C",30.7839,2002,NA
364,"T","IAB",-0.209840627768268,"D",5.7113,2002,NA
365,"T","IAB",-0.322098406380999,"D",4.2281,2002,NA
366,"T","U",2.93337717338819,"M",91.5749,1987,NA
367,"T","U",2.93337717338819,"M",76.064,1963,NA
368,"T","IAB",-0.43435618499373,"C",5.1585,2002,NA
369,"T","IAB",-0.322098406380999,"D",7.4,2002,NA
370,"P","U",-0.509194704068884,"C",10.1946,2002,NA
371,"P","U",-0.0601635896179607,"D",24.4084,2002,NA
372,"P","U",-0.43435618499373,"D",96.7845,2002,NA
373,"P","U",-0.43435618499373,"D",10.1841,2002,NA
374,"P","U",-0.509194704068884,"C",13.4392,2002,NA
375,"P","U",-0.569065519329007,"C",54.9028,2001,NA
376,"P","U",-0.569065519329007,"C",9.1162,2002,NA
377,"T","IAB",-0.569065519329007,"C",14.5453,2002,NA
378,"P","U",-0.569065519329007,"C",18.5175,2002,NA
379,"P","U",-0.509194704068884,"D",10.4093,2002,NA
380,"P","U",-0.509194704068884,"D",25.9646,2002,NA
381,"P","U",-0.569065519329007,"C",6.5889,2002,NA
382,"P","U",-0.509194704068884,"D",23.7687,2002,NA
383,"P","U",-0.509194704068884,"D",10.53,2002,NA
384,"P","U",-0.569065519329007,"C",9.8881,2002,NA
385,"P","U",-0.569065519329007,"C",19.5393,2001,NA
386,"P","U",-0.569065519329007,"C",7.2332,2002,NA
387,"P","U",-0.569065519329007,"C",11.8798,2002,NA
388,"P","U",-0.569065519329007,"C",13.6245,2002,NA
389,"P","U",-0.569065519329007,"C",23.3274,2002,NA
390,"P","U",-0.509194704068884,"D",15.8199,2002,NA
391,"P","U",-0.569065519329007,"C",9.3736,2002,NA
392,"P","U",-0.509194704068884,"D",42.2527,2002,NA
393,"P","U",-0.569065519329007,"C",8.8039,2002,NA
394,"P","U",-0.569065519329007,"D",8.5548,2002,NA
395,"P","U",-0.509194704068884,"D",1.1694,2002,NA
396,"P","U",-0.509194704068884,"D",9.9371,2002,NA
397,"P","U",-0.209840627768268,"D",20.2538,2002,NA
398,"P","U",-0.209840627768268,"D",10.7296,2002,NA
399,"P","U",-0.569065519329007,"C",6.0954,2002,NA
400,"P","U",-0.569065519329007,"C",19.818,2002,NA
401,"P","U",-0.509194704068884,"D",17.8996,2002,NA
402,"P","U",-0.569065519329007,"C",18.6786,2002,NA
403,"P","U",-0.569065519329007,"D",13.1874,2002,NA
404,"P","U",-0.569065519329007,"C",2.74,2002,NA
405,"P","U",-0.509194704068884,"D",7.4269,2002,NA
406,"P","U",-0.509194704068884,"D",13.3933,2002,NA
407,"P","U",-0.569065519329007,"C",23.1228,2002,NA
408,"P","U",-0.509194704068884,"D",5.745,2002,NA
409,"P","U",-0.509194704068884,"D",17.6905,2002,NA
410,"P","U",-0.569065519329007,"C",8.2658,2002,NA
411,"P","U",-0.509194704068884,"D",5.0977,2002,NA
412,"P","U",-0.509194704068884,"D",24.6025,2002,NA
413,"P","U",-0.509194704068884,"D",17.7843,2002,NA
414,"P","U",-0.509194704068884,"D",12.7504,2002,NA
415,"P","U",-0.569065519329007,"C",20.0433,2002,NA
416,"P","U",-0.509194704068884,"D",2.2336,2002,NA
417,"P","U",-0.569065519329007,"D",16.649,2002,NA
418,"P","U",-0.509194704068884,"D",11.5576,2002,NA
419,"P","U",-0.569065519329007,"C",11.0458,2002,NA
420,"P","U",-0.569065519329007,"C",12.8281,2002,NA
421,"P","U",-0.569065519329007,"C",22.3043,2002,NA
422,"P","U",-0.569065519329007,"D",11.7733,2002,NA
423,"P","U",-0.569065519329007,"C",29.5337,2002,NA
424,"P","U",-0.569065519329007,"C",7.351,2002,NA
425,"P","U",-0.0601635896179607,"D",0.8528,2002,NA
426,"P","U",-0.0601635896179607,"C",107.3458,2002,NA
427,"T","IAB",-0.569065519329007,"C",6.804,1975,NA
428,"P","U",0.126932708069924,"D",39.6721,2002,NA
429,"P","U",0.126932708069924,"D",19.6337,2002,NA
430,"P","U",-0.569065519329007,"C",12.8753,2002,NA
431,"P","U",0.126932708069924,"D",11.4059,2002,NA
432,"P","U",-0.569065519329007,"C",8.361,2002,NA
433,"P","U",-0.569065519329007,"D",17.9749,2002,NA
434,"P","U",0.126932708069924,"D",26.0443,2002,NA
435,"P","U",0.126932708069924,"D",19.6891,2002,NA
436,"P","U",-0.322098406380999,"D",59.3031,2002,NA
437,"P","U",-0.569065519329007,"C",5.6603,2002,NA
438,"P","U",-0.569065519329007,"C",5.9069,2002,NA
439,"P","U",-0.322098406380999,"D",16.7277,2002,NA
440,"P","U",-0.509194704068884,"D",155.0087,2002,2006
441,"P","U",-0.569065519329007,"C",3.0269,2002,NA
442,"P","U",-0.569065519329007,"D",8.7275,2002,NA
443,"P","U",-0.322098406380999,"D",15.7605,2002,NA
444,"P","U",-0.322098406380999,"C",8.7231,2002,NA
445,"P","U",-0.322098406380999,"D",35.6605,2002,NA
446,"P","U",-0.43435618499373,"C",14.816,2002,NA
447,"P","U",-0.569065519329007,"C",20.7699,2002,NA
448,"P","U",-0.322098406380999,"D",11.2804,2002,NA
449,"P","U",-0.322098406380999,"D",7.041,2002,NA
450,"T","IAB",-0.322098406380999,"C",1.1992,2001,NA
451,"P","U",-0.43435618499373,"D",29.0818,2002,NA
452,"P","U",-0.569065519329007,"C",24.1034,2002,NA
453,"P","U",-0.509194704068884,"C",3.9854,2002,NA
454,"P","U",-0.509194704068884,"D",69.173,2002,NA
455,"P","U",-0.569065519329007,"C",11.9391,2002,NA
456,"P","U",-0.509194704068884,"D",19.2336,2002,NA
457,"P","U",-0.569065519329007,"D",16.8803,2002,NA
458,"P","U",-0.569065519329007,"C",17.8208,2002,NA
459,"P","U",-0.569065519329007,"C",11.1379,2002,NA
460,"P","U",-0.621452482681614,"C",35.7058,2002,NA
461,"P","U",-0.569065519329007,"D",28.4123,2002,NA
462,"P","U",-0.621452482681614,"D",41.4844,2002,NA
463,"P","U",-0.621452482681614,"C",4.3592,2002,NA
464,"P","U",-0.621452482681614,"C",5.9743,2002,NA
465,"P","U",-0.621452482681614,"C",3.3354,2002,NA
466,"P","U",-0.569065519329007,"D",3.8475,2002,NA
467,"P","IAB",-0.621452482681614,"C",5.6978,2002,NA
